transaction_id,amount,account_age_days,num_prev_transactions,device_trust_score,location_mismatch,high_risk_merchant,multiple_failed_attempts,is_night_transaction,is_fraud
TXN00041,8204.52,1719,497,0.53,0,0,0,1,0
TXN00042,4356.97,1026,87,0.66,1,1,0,0,1
TXN00043,1929.69,1218,202,0.64,0,0,0,0,0
TXN00044,3241.68,1190,360,0.87,0,0,0,0,0
TXN00045,9225.08,1783,310,0.29,0,0,0,1,0
TXN00046,3563.18,1011,319,0.26,0,0,0,0,1
TXN00047,2619.37,925,448,0.33,0,1,0,0,0
TXN00048,2797.71,1780,181,0.9,0,0,1,1,0
TXN00049,4343.03,1134,351,0.95,0,0,0,0,0
TXN00050,1651.26,380,167,0.61,0,0,1,0,0
TXN00051,2198.39,835,180,0.55,0,0,0,0,0
TXN00052,6299.54,999,299,0.64,0,0,0,0,0
TXN00053,4256.26,1607,446,0.65,1,0,0,0,0
TXN00054,3590.32,1700,129,0.25,0,0,0,0,0
TXN00055,6512.03,285,462,0.72,0,0,0,0,0
TXN00056,1829.37,1911,148,0.51,0,0,0,0,0
TXN00057,2556.87,421,471,0.57,0,0,0,0,0
TXN00058,4157.86,113,305,0.13,0,0,0,0,0
TXN00059,4053.83,1018,208,0.79,0,0,0,0,0
TXN00060,851.69,228,110,0.85,0,0,0,0,0
TXN00061,2360.92,1495,435,0.66,0,0,0,0,0
TXN00062,2934.0,1837,499,0.77,0,0,0,1,0
TXN00063,4489.21,528,136,0.57,1,0,0,1,0
TXN00064,4043.53,496,354,0.66,1,1,0,1,0
TXN00065,3144.79,31,403,0.46,1,0,0,0,0
TXN00066,428.21,162,210,0.81,0,0,0,0,0
TXN00067,3265.34,1842,145,0.52,0,0,0,0,0
TXN00068,3491.28,705,83,0.71,0,0,0,1,0
TXN00069,14596.0,722,29,0.66,0,0,0,1,0
TXN00070,2860.92,1402,487,0.73,0,1,0,0,0
TXN00071,4174.12,446,64,0.81,0,0,0,0,0
TXN00072,7240.43,744,23,0.56,1,0,0,1,0
TXN00073,5676.15,427,471,0.83,0,0,0,0,0
TXN00074,8425.61,1720,430,0.55,0,0,0,1,0
TXN00075,865.82,504,210,0.96,0,0,0,0,0
TXN00076,1374.12,1551,221,0.78,0,0,1,0,0
TXN00077,2074.53,1968,89,0.25,0,0,0,0,0
TXN00078,718.63,1841,105,0.85,0,0,1,0,0
TXN00079,3513.51,721,171,0.6,0,0,0,0,0
TXN00080,1478.36,684,229,0.99,0,0,0,0,0
TXN00081,9150.42,1802,412,0.75,0,0,0,0,0
TXN00082,1692.4,1556,76,0.18,0,1,0,0,0
TXN00083,2569.01,582,67,0.46,0,0,0,1,0
TXN00084,5905.92,1544,364,0.57,0,0,0,0,0
TXN00085,1058.28,1965,400,0.86,0,1,0,0,0
TXN00086,667.17,1058,352,0.76,0,0,0,0,0
TXN00087,3833.14,736,388,0.43,0,0,0,0,0
TXN00088,4050.38,691,91,0.69,0,0,1,1,1
TXN00089,5786.91,758,87,0.62,1,0,0,0,0
TXN00090,4870.75,1514,464,0.21,0,0,0,0,0
TXN00091,4160.45,1796,49,0.31,0,0,0,0,0
TXN00092,1867.76,1644,102,0.41,0,0,0,0,0
TXN00093,3969.69,754,367,0.28,0,0,0,0,0
TXN00094,4148.75,1447,423,0.24,0,0,0,0,0
TXN00095,1808.17,1492,491,0.15,0,0,0,0,0
TXN00096,10844.15,24,45,0.89,0,0,0,1,0
TXN00097,4712.55,1240,178,0.36,0,0,0,1,0
TXN00098,1396.92,55,266,0.36,0,0,0,0,1
TXN00099,5806.56,1050,267,0.29,0,0,0,1,0
TXN00100,6490.79,1305,396,0.53,0,0,0,0,0
TXN00101,4516.76,804,319,0.56,0,0,0,0,0
TXN00102,2739.04,327,7,0.29,0,1,0,0,0
TXN00103,1741.37,970,448,0.65,1,0,0,0,0
TXN00104,3138.19,186,264,0.75,0,0,0,0,0
TXN00105,4294.05,495,475,0.44,0,0,0,1,0
TXN00106,3367.02,1036,385,0.63,0,1,0,0,0
TXN00107,8671.05,1665,77,0.55,0,0,0,0,0
TXN00108,5223.83,1908,396,0.28,0,0,0,1,0
TXN00109,1573.84,434,239,0.76,0,0,0,0,0
TXN00110,1262.38,1945,257,0.82,0,0,0,0,0
TXN00111,4740.7,208,195,0.68,0,0,0,0,0
TXN00112,2789.01,133,459,0.39,0,0,0,0,0
TXN00113,5537.62,1363,431,0.93,1,0,0,0,0
TXN00114,4710.61,1220,329,0.51,1,0,0,0,0
TXN00115,3148.8,1286,130,0.34,0,0,0,0,0
TXN00116,1590.12,1306,451,0.47,0,0,0,0,0
TXN00117,752.4,369,389,0.72,1,0,0,0,0
TXN00118,3917.24,1127,342,0.86,0,0,0,1,0
TXN00119,1040.5,1656,260,0.42,0,0,0,0,0
TXN00120,1532.41,1207,241,0.31,0,0,1,1,1
TXN00121,3746.21,423,386,0.66,0,0,0,1,0
TXN00122,3485.9,1033,393,0.93,0,0,0,0,0
TXN00123,1167.44,1581,170,0.26,1,0,0,1,0
TXN00124,6984.65,244,146,0.82,0,0,0,0,0
TXN00125,6861.72,782,269,0.53,0,0,0,1,0
TXN00126,4847.83,624,148,0.82,0,0,1,0,1
TXN00127,4843.69,567,379,0.55,0,0,0,0,0
TXN00128,4847.87,1417,298,0.44,1,1,0,0,0
TXN00129,6453.12,527,27,0.73,0,0,0,0,0
TXN00130,5313.95,37,148,0.91,0,0,0,0,0
TXN00131,1709.6,178,419,0.39,0,0,0,0,0
TXN00132,2758.5,639,279,0.51,0,0,0,1,0
TXN00133,13593.06,1653,181,0.31,0,0,0,0,1
TXN00134,462.97,852,165,0.27,0,0,0,1,0
TXN00135,2257.26,72,16,0.8,0,0,0,0,0
TXN00136,7009.63,352,149,0.28,0,1,0,0,1
TXN00137,1806.53,623,338,0.81,0,0,1,1,0
TXN00138,5413.96,1173,44,0.49,0,0,0,0,0
TXN00139,3452.39,1721,329,1.0,0,1,0,0,0
TXN00140,1918.09,105,188,0.28,0,0,0,1,0
TXN00141,362.02,1683,138,0.18,1,0,0,0,0
TXN00142,3838.31,221,60,0.17,1,0,0,0,0
TXN00143,1677.22,1850,293,0.85,0,0,0,1,0
TXN00144,3045.77,863,321,0.49,0,0,0,1,0
TXN00145,4814.6,1398,32,0.1,0,0,0,1,0
TXN00146,6105.62,518,298,0.89,0,0,0,1,0
TXN00147,2251.26,1284,414,0.89,0,0,0,0,0
TXN00148,1915.0,299,111,0.83,0,0,0,0,0
TXN00149,1022.61,861,290,0.32,1,1,0,1,1
TXN00150,6309.26,42,36,0.44,0,0,0,0,0
TXN00151,12363.45,771,430,0.77,0,0,0,0,0
TXN00152,6772.95,897,494,0.54,0,0,0,0,0
TXN00153,7791.2,492,99,0.24,0,0,0,1,0
TXN00154,1819.67,1463,22,0.32,0,0,0,0,0
TXN00155,4615.6,1807,419,0.98,1,0,0,0,0
TXN00156,5760.14,1071,423,0.24,0,0,0,0,0
TXN00157,1326.28,85,486,0.75,0,0,0,1,0
TXN00158,9574.3,1710,217,0.53,0,1,0,1,0
TXN00159,836.43,1082,88,0.77,1,0,0,0,0
TXN00160,8611.31,991,208,0.7,0,0,0,0,0
TXN00161,830.56,711,270,0.5,0,0,0,1,0
TXN00162,1387.08,209,420,0.42,0,0,0,1,0
TXN00163,4674.5,1272,236,0.78,0,0,0,0,0
TXN00164,3516.83,1235,387,0.39,0,0,0,1,0
TXN00165,2434.15,39,405,0.81,0,0,0,1,0
TXN00166,9334.29,1276,208,0.71,0,0,0,0,0
TXN00167,1049.95,1667,277,0.62,1,1,0,0,0
TXN00168,2956.58,926,464,0.43,0,0,0,1,0
TXN00169,5094.79,1827,205,0.28,0,1,0,0,0
TXN00170,4112.76,762,77,0.74,0,0,0,0,0
TXN00171,1970.18,1977,400,0.18,0,0,0,1,0
TXN00172,2031.42,1437,327,0.97,0,0,0,0,0
TXN00173,6043.4,946,97,0.98,0,0,0,0,0
TXN00174,6237.38,1470,345,0.22,0,0,0,1,0
TXN00175,4191.4,52,364,0.19,0,0,0,0,1
TXN00176,1618.34,374,349,0.47,0,0,1,0,0
TXN00177,2086.07,1550,469,0.97,0,0,1,0,0
TXN00178,3279.66,931,335,0.46,0,0,1,0,0
TXN00179,3645.54,156,93,0.43,0,0,0,1,0
TXN00180,4954.87,1978,79,0.73,0,0,0,1,0
TXN00181,2838.05,1566,37,0.26,0,0,0,0,0
TXN00182,5951.02,1114,407,0.43,0,0,0,0,0
TXN00183,5905.9,1927,227,0.36,0,0,0,1,0
TXN00184,7967.91,679,482,0.64,1,0,0,0,0
TXN00185,3387.86,351,133,0.25,0,0,0,0,0
TXN00186,4242.34,69,195,0.59,1,0,0,1,0
TXN00187,3008.47,1187,465,0.87,0,0,0,0,0
TXN00188,1635.59,1266,389,0.56,0,0,0,0,0
TXN00189,12180.19,1519,281,0.72,0,0,0,1,1
TXN00190,7306.83,1407,100,0.17,0,0,1,1,1
TXN00191,5823.69,1076,474,0.5,0,0,0,0,0
TXN00192,3301.81,654,424,0.19,0,0,0,1,0
TXN00193,1511.9,63,74,0.64,0,0,0,0,0
TXN00194,6538.19,509,293,0.35,0,0,1,0,0
TXN00195,2967.87,292,207,0.36,0,0,0,1,0
TXN00196,4517.23,1115,82,0.17,0,0,0,0,0
TXN00197,2079.38,1688,426,0.38,0,0,0,0,0
TXN00198,4006.68,1448,436,0.56,0,0,0,0,0
TXN00199,2188.26,1693,142,0.63,0,0,0,0,0
TXN00200,2259.04,821,473,0.16,0,0,0,0,0
TXN00201,3969.1,1389,55,0.69,0,0,0,1,0
TXN00202,818.13,150,360,0.54,0,0,0,0,0
TXN00203,859.94,1864,439,0.58,0,0,0,0,0
TXN00204,1801.15,1295,286,0.85,0,1,0,0,0
TXN00205,2812.03,881,210,0.41,1,0,0,0,0
TXN00206,6074.39,1605,440,0.26,0,0,0,0,0
TXN00207,2937.19,1140,178,0.6,0,0,0,0,0
TXN00208,3285.76,704,407,0.95,0,0,0,0,0
TXN00209,2642.19,516,57,0.57,0,0,0,0,0
TXN00210,4237.95,1611,72,0.85,0,0,0,1,0
TXN00211,1621.16,1938,214,0.78,0,0,1,0,1
TXN00212,3060.33,1834,387,0.57,0,0,0,0,0
TXN00213,4481.85,1265,265,0.68,0,0,0,0,0
TXN00214,3946.06,30,446,0.47,0,0,0,0,0
TXN00215,3365.95,1167,72,0.58,0,0,0,0,0
TXN00216,3397.02,326,466,0.56,0,0,0,0,0
TXN00217,4791.58,1719,270,0.74,0,0,0,0,0
TXN00218,12556.4,949,498,0.47,0,0,0,0,0
TXN00219,1718.67,16,353,0.19,0,0,0,0,0
TXN00220,12786.7,111,233,0.81,0,0,0,0,0
TXN00221,1651.58,872,318,0.72,0,0,0,0,0
TXN00222,307.03,713,18,0.96,0,0,0,1,0
TXN00223,2151.78,107,112,0.49,0,0,0,1,0
TXN00224,4295.9,379,62,0.17,0,0,0,1,0
TXN00225,10903.19,162,371,0.21,1,1,1,0,1
TXN00226,1510.13,283,183,0.8,0,0,0,0,0
TXN00227,4771.62,269,276,0.16,0,0,0,0,0
TXN00228,954.48,484,161,0.92,0,0,0,0,0
TXN00229,10650.78,667,242,0.35,1,0,1,0,1
TXN00230,7400.16,1097,144,0.91,0,0,0,0,0
TXN00231,2262.75,1221,145,0.8,0,1,0,0,0
TXN00232,8193.39,1267,80,0.88,0,0,0,0,0
TXN00233,3046.25,598,321,0.29,0,1,0,0,0
TXN00234,7659.64,799,434,0.64,0,0,0,0,0
TXN00235,3346.89,1283,320,0.18,0,0,0,0,0
TXN00236,3456.11,798,42,0.28,0,1,0,0,1
TXN00237,2301.08,1173,312,0.38,0,1,0,0,1
TXN00238,5214.02,1891,393,0.77,0,0,0,0,0
TXN00239,3653.68,390,292,0.12,0,1,0,0,0
TXN00240,4845.85,416,175,0.91,0,0,1,0,0
TXN00241,734.11,426,375,0.16,0,1,0,0,0
TXN00242,7840.26,997,68,0.44,0,1,0,0,0
TXN00243,9156.58,1726,55,0.17,0,0,0,1,0
TXN00244,3641.01,1241,118,0.79,0,0,0,1,0
TXN00245,11987.41,1952,203,0.23,0,0,0,1,1
TXN00246,10230.08,867,419,0.9,0,0,0,0,0
TXN00247,5292.78,86,414,0.58,1,0,0,0,0
TXN00248,8262.99,1240,54,0.95,0,0,1,0,0
TXN00249,6881.05,423,37,0.36,0,0,0,1,0
TXN00250,542.26,1344,242,0.51,0,0,0,1,0
TXN00251,2684.99,118,200,0.72,1,0,0,1,1
TXN00252,5550.46,1950,235,0.85,0,0,0,0,0
TXN00253,9554.51,959,473,0.48,1,0,0,0,0
TXN00254,888.89,882,14,0.9,0,0,0,0,0
TXN00255,585.98,992,143,0.21,0,0,0,1,0
TXN00256,3191.96,415,76,0.74,0,0,0,0,0
TXN00257,337.73,599,472,0.41,0,0,0,0,0
TXN00258,3108.48,40,477,0.19,0,0,0,0,0
TXN00259,4372.31,1185,308,0.45,0,0,0,1,0
TXN00260,1447.85,703,439,0.89,0,0,0,0,0
TXN00261,3174.1,537,262,0.98,1,0,0,1,0
TXN00262,6457.7,420,184,0.45,0,0,0,0,0
TXN00263,2143.11,664,54,0.9,1,0,0,0,0
TXN00264,1676.64,95,307,0.56,0,0,0,0,0
TXN00265,3064.55,1466,3,0.75,0,0,0,1,0
TXN00266,1311.17,1959,298,0.14,0,0,0,1,1
TXN00267,11414.82,1582,39,0.6,0,0,0,0,0
TXN00268,3425.21,973,229,0.16,0,0,0,0,0
TXN00269,1833.4,650,376,0.34,0,0,0,0,0
TXN00270,3916.91,1490,285,0.61,0,0,0,0,0
TXN00271,3051.63,288,137,0.83,0,0,0,0,0
TXN00272,2794.72,1889,477,0.6,0,0,0,0,0
TXN00273,2142.64,1700,102,0.94,0,0,0,0,0
TXN00274,2056.67,412,6,0.83,0,0,0,0,0
TXN00275,752.07,400,163,0.24,1,0,0,1,1
TXN00276,8254.68,528,418,0.45,0,0,1,1,1
TXN00277,5054.61,1042,471,0.7,1,0,0,0,0
TXN00278,4203.29,136,422,0.94,0,0,0,0,0
TXN00279,3013.84,1488,419,0.99,0,0,0,1,0
TXN00280,1424.78,759,364,0.79,0,0,0,0,0
TXN00281,1737.0,1272,275,0.62,0,0,0,0,0
TXN00282,844.56,843,48,0.78,0,0,0,1,0
TXN00283,1927.08,710,95,0.35,0,0,0,1,0
TXN00284,1248.03,1025,58,0.36,0,0,0,1,0
TXN00285,9862.69,1726,230,0.69,1,0,0,0,0
TXN00286,6167.23,381,176,0.88,0,0,0,0,0
TXN00287,3537.11,509,89,0.97,0,0,0,0,0
TXN00288,1567.39,1484,281,0.41,0,0,0,0,0
TXN00289,1308.4,1529,35,0.82,0,1,0,0,0
TXN00290,2865.64,806,170,0.87,0,0,0,0,0
TXN00291,6342.17,476,125,0.66,0,1,0,0,1
TXN00292,869.28,1581,482,0.41,0,0,0,0,0
TXN00293,5008.44,954,298,0.66,0,0,0,1,0
TXN00294,1919.8,849,354,0.63,0,0,0,0,0
TXN00295,2227.14,897,203,0.65,1,0,0,0,0
TXN00296,3460.19,32,288,0.66,1,0,0,0,0
TXN00297,1615.23,1928,355,0.86,0,0,0,0,0
TXN00298,2753.65,118,461,0.25,0,0,0,0,0
TXN00299,1496.24,1832,96,0.43,0,0,0,1,0
TXN00300,2054.88,1208,237,0.63,0,0,0,0,0
TXN00301,5688.89,191,172,0.35,0,0,0,0,0
TXN00302,3596.44,1771,300,0.98,0,0,0,0,0
TXN00303,5674.14,1774,87,0.34,1,0,0,0,0
TXN00304,1898.47,1752,398,0.52,0,0,0,0,0
TXN00305,5034.33,74,350,0.89,0,0,0,1,1
TXN00306,649.6,623,16,0.17,0,0,0,1,0
TXN00307,3459.04,1127,139,0.84,0,0,0,1,0
TXN00308,5268.98,871,253,0.61,1,0,0,0,0
TXN00309,620.56,586,277,0.13,0,0,0,1,0
TXN00310,1917.67,420,150,0.91,0,0,0,0,0
TXN00311,3457.22,473,345,0.14,0,0,0,1,0
TXN00312,6665.12,1788,333,0.56,0,0,0,0,0
TXN00313,2054.66,114,139,0.14,0,0,0,1,0
TXN00314,4896.94,1403,113,0.16,0,0,0,0,0
TXN00315,8612.75,1337,67,0.9,0,0,0,1,0
TXN00316,5056.36,330,365,0.79,0,0,0,0,0
TXN00317,2836.08,339,178,0.28,0,0,0,0,0
TXN00318,4386.39,238,124,0.66,0,0,0,0,0
TXN00319,2004.41,1197,396,0.82,1,0,1,0,1
TXN00320,3561.94,79,312,0.9,1,1,0,0,0
TXN00321,2947.32,464,310,0.52,0,0,0,0,0
TXN00322,4283.21,1922,337,0.91,1,0,0,0,0
TXN00323,2378.96,605,362,0.56,0,0,0,0,0
TXN00324,4459.05,1988,411,0.72,0,0,0,0,0
TXN00325,2360.23,1525,357,0.98,0,0,0,0,0
TXN00326,6126.4,562,232,0.31,0,0,0,0,0
TXN00327,2560.42,285,427,0.25,1,0,0,0,0
TXN00328,354.45,223,146,0.41,0,0,0,0,0
TXN00329,1349.18,593,429,0.25,0,0,0,1,0
TXN00330,3381.12,1290,110,0.36,0,0,0,1,0
TXN00331,9805.84,1691,362,0.77,1,0,0,1,0
TXN00332,5966.2,373,357,0.53,0,0,0,0,0
TXN00333,263.34,1257,237,0.44,1,1,0,1,1
TXN00334,787.64,911,2,0.43,0,0,0,0,0
TXN00335,7244.46,828,210,0.28,0,0,1,0,1
TXN00336,5248.65,236,403,0.5,0,0,1,1,0
TXN00337,13305.37,671,24,0.66,0,0,1,1,1
TXN00338,2282.38,1941,330,0.23,0,0,0,1,0
TXN00339,1585.32,828,183,0.98,0,0,0,0,0
TXN00340,3521.55,763,464,0.5,0,0,0,0,0
TXN00341,2245.88,1338,60,0.95,0,0,0,0,0
TXN00342,6793.99,1961,122,0.22,0,0,0,0,0
TXN00343,2182.28,1966,496,0.79,0,0,0,1,0
TXN00344,2683.95,1837,54,0.66,0,0,0,0,0
TXN00345,1391.03,380,162,0.84,0,0,0,0,0
TXN00346,5694.78,794,461,0.64,0,0,0,0,0
TXN00347,1474.24,614,186,0.97,1,0,0,0,0
TXN00348,4518.82,563,38,0.66,0,0,0,1,0
TXN00349,10906.75,420,184,0.81,0,1,0,0,0
TXN00350,527.03,52,82,0.89,0,1,0,0,0
TXN00351,8880.32,1745,194,0.74,0,0,0,0,0
TXN00352,4109.72,819,33,0.57,0,0,0,0,0
TXN00353,1190.01,1667,112,0.35,0,0,1,1,0
TXN00354,3623.84,1533,424,0.87,0,0,0,0,0
TXN00355,5580.35,1806,405,0.53,0,0,0,0,0
TXN00356,1680.56,1969,229,0.66,0,0,0,0,0
TXN00357,4704.86,205,282,0.17,0,0,0,1,0
TXN00358,9371.11,1001,404,0.55,0,0,0,0,0
TXN00359,2179.94,731,424,0.73,0,0,0,1,0
TXN00360,1375.46,257,286,0.63,1,0,0,0,1
TXN00361,3018.99,185,154,0.5,0,0,0,1,0
TXN00362,3479.29,145,164,0.3,0,0,0,0,1
TXN00363,7031.86,1714,449,0.38,0,0,0,0,0
TXN00364,2941.78,1038,181,0.73,1,0,1,0,0
TXN00365,2348.15,246,238,0.3,0,0,0,0,0
TXN00366,1343.51,187,136,0.66,0,0,0,0,0
TXN00367,626.18,1361,338,0.63,0,0,0,0,0
TXN00368,988.84,1283,425,0.97,0,0,0,0,0
TXN00369,982.97,866,419,0.15,0,0,1,0,1
TXN00370,2706.99,40,265,0.2,0,0,0,0,0
TXN00371,763.66,601,186,0.56,0,0,0,1,0
TXN00372,3195.1,1661,39,0.57,0,1,1,0,0
TXN00373,10749.09,962,309,0.14,0,0,0,1,1
TXN00374,7170.25,1442,492,0.84,0,0,0,0,0
TXN00375,2686.15,986,166,0.55,0,0,0,0,0
TXN00376,15370.29,1375,390,0.41,0,0,0,0,0
TXN00377,3488.58,9,259,0.39,0,0,1,0,1
TXN00378,3871.39,350,142,0.88,0,0,0,0,0
TXN00379,2974.32,84,203,0.28,1,0,0,1,1
TXN00380,3249.48,533,175,0.24,0,1,0,0,0
TXN00381,2117.88,989,261,0.29,0,0,0,1,0
TXN00382,2717.38,1817,251,0.66,0,1,0,0,1
TXN00383,8919.82,358,328,0.83,0,0,0,0,0
TXN00384,7696.88,378,418,0.4,0,0,0,1,0
TXN00385,334.4,172,199,0.26,0,0,0,1,0
TXN00386,859.89,1049,198,0.29,0,0,0,0,0
TXN00387,1701.35,393,195,0.66,0,0,0,0,0
TXN00388,6379.91,1127,313,0.32,1,0,0,0,1
TXN00389,7812.34,702,76,0.89,1,0,0,0,0
TXN00390,5565.46,1260,18,0.19,0,1,0,0,0
TXN00391,1185.39,1434,61,0.13,0,0,0,1,0
TXN00392,2154.16,1849,326,0.18,0,0,1,0,1
TXN00393,4763.28,549,393,0.86,0,0,0,0,0
TXN00394,2750.52,784,280,0.69,0,0,0,0,0
TXN00395,2456.19,1829,427,0.96,0,0,0,0,0
TXN00396,2485.49,332,249,0.4,0,1,0,1,1
TXN00397,7312.15,1688,226,0.29,0,0,0,0,0
TXN00398,5111.2,794,126,0.61,0,0,0,0,0
TXN00399,2596.27,1556,57,0.58,1,0,0,0,0
TXN00400,4248.3,649,408,0.63,0,0,0,0,0
TXN00401,1034.13,983,476,0.41,0,0,0,0,0
TXN00402,2157.63,1895,375,0.11,0,0,0,1,0
TXN00403,6841.71,1053,203,0.13,1,0,0,0,0
TXN00404,713.11,543,242,0.7,0,0,1,1,1
TXN00405,5155.65,1043,366,0.57,0,0,0,0,0
TXN00406,329.66,1172,423,0.84,1,0,0,1,0
TXN00407,9912.34,1495,331,0.37,0,0,0,0,0
TXN00408,2115.03,491,499,0.83,0,1,0,0,0
TXN00409,4473.75,283,325,0.48,0,0,0,0,0
TXN00410,3637.05,862,251,0.19,0,0,0,0,0
TXN00411,3736.67,1877,393,0.98,0,0,0,0,0
TXN00412,4192.91,1836,321,0.56,0,0,1,1,0
TXN00413,580.5,1699,375,0.67,0,0,0,0,0
TXN00414,3794.26,113,492,0.7,0,0,0,0,0
TXN00415,2880.5,1479,408,0.43,0,0,0,0,0
TXN00416,2124.88,1686,198,0.77,0,0,0,0,0
TXN00417,1700.55,1354,487,0.88,0,0,0,1,0
TXN00418,3865.0,1279,342,0.45,1,1,0,0,0
TXN00419,1391.59,1623,239,0.69,0,1,0,0,0
TXN00420,6759.25,1423,138,0.78,0,0,0,0,0
TXN00421,4708.53,862,121,0.27,0,1,0,0,1
TXN00422,4039.06,610,419,0.4,0,1,0,0,0
TXN00423,6568.87,1933,48,0.2,0,0,0,0,0
TXN00424,481.49,508,303,0.64,0,0,0,1,0
TXN00425,1000.81,1668,114,0.82,0,0,0,1,0
TXN00426,4856.53,466,342,0.65,0,1,0,1,0
TXN00427,1788.67,824,250,0.26,0,0,0,1,0
TXN00428,1990.58,1431,490,0.59,0,0,0,0,0
TXN00429,860.78,609,6,0.85,0,0,0,0,0
TXN00430,1395.2,1122,218,0.37,0,0,0,0,0
TXN00431,6861.05,290,76,0.85,0,0,0,0,0
TXN00432,4776.2,868,178,0.81,0,0,0,0,0
TXN00433,3833.72,1763,144,0.12,1,1,0,0,1
TXN00434,2057.0,1681,415,0.32,1,0,1,0,1
TXN00435,3658.39,1180,153,0.59,0,0,0,0,0
TXN00436,7268.4,782,120,0.75,1,0,0,0,0
TXN00437,1827.43,162,123,0.89,0,0,0,0,0
TXN00438,3243.81,624,149,0.68,0,0,0,1,0
TXN00439,10314.61,1867,396,0.44,0,1,0,1,0
TXN00440,5515.02,1721,380,0.27,1,0,0,0,1
TXN00441,2081.75,717,267,0.78,1,0,0,1,0
TXN00442,5210.4,1121,326,0.29,0,1,0,0,1
TXN00443,700.63,1401,0,0.73,0,1,1,0,1
TXN00444,3144.82,567,160,0.26,0,0,0,0,0
TXN00445,5206.44,1474,243,0.18,0,0,0,0,0
TXN00446,4414.52,994,374,0.33,0,0,0,0,0
TXN00447,5171.46,1141,397,0.36,0,0,0,0,0
TXN00448,5983.4,1629,250,0.68,0,0,0,1,0
TXN00449,4665.05,1829,366,0.24,0,0,0,1,0
TXN00450,4570.2,1988,63,0.94,0,0,0,0,0
TXN00451,3898.85,1740,298,0.6,0,0,0,0,0
TXN00452,1248.69,1818,247,0.54,0,0,0,0,0
TXN00453,6859.0,1530,441,0.49,0,0,0,1,0
TXN00454,3232.24,1213,296,0.61,0,0,0,0,0
TXN00455,5420.75,1500,464,0.12,0,0,0,0,0
TXN00456,6390.29,1347,451,0.99,0,0,0,1,0
TXN00457,2170.56,596,499,0.6,0,0,0,0,0
TXN00458,2332.62,1994,114,0.13,1,0,0,0,0
TXN00459,2597.08,1204,294,0.63,0,0,0,1,0
TXN00460,7740.58,1810,0,0.49,0,0,0,0,0
TXN00461,1515.93,1205,40,0.12,0,0,0,0,0
TXN00462,8639.08,959,172,0.93,0,0,0,0,0
TXN00463,3867.03,1717,87,0.11,1,0,0,0,0
TXN00464,4071.49,1013,481,0.62,0,1,0,1,0
TXN00465,6198.38,1819,97,0.97,0,0,0,0,0
TXN00466,3550.34,1311,87,0.31,0,0,0,1,0
TXN00467,6910.63,475,250,0.33,0,0,0,0,0
TXN00468,2168.15,618,334,0.1,1,0,0,0,0
TXN00469,8457.04,641,464,0.16,0,0,0,0,0
TXN00470,2310.29,262,140,0.14,0,1,0,1,0
